Hour,AC Power
2023-01-31,12864.2396016653
2023-02-28,12402.67438599304
2023-03-31,13864.01604200795
2023-04-30,12986.11266658337
2023-05-31,12133.05482859401
2023-06-30,10847.76401488739
2023-07-31,12724.26415562836
2023-08-31,12850.366104006
2023-09-30,12822.41351614538
2023-10-31,12139.63522085721
2023-11-30,10218.4184236473
2023-12-31,10632.34964868354
2024-01-31,12864.2396016653
2024-02-29,12402.67438599304
2024-03-31,13864.01604200795
2024-04-30,12986.11266658337
2024-05-31,12133.05482859401
2024-06-30,10847.76401488739
2024-07-31,12724.26415562836
2024-08-31,12850.366104006
2024-09-30,12822.41351614538
2024-10-31,12139.63522085721
2024-11-30,10218.4184236473
2024-12-31,10632.34964868354
2025-01-31,12864.2396016653
2025-02-28,12402.67438599304
2025-03-31,13864.01604200795
2025-04-30,12986.11266658337
2025-05-31,12133.05482859401
2025-06-30,10847.76401488739
2025-07-31,12724.26415562836
2025-08-31,12850.366104006
2025-09-30,12822.41351614538
2025-10-31,12139.63522085721
2025-11-30,10218.4184236473
2025-12-31,10632.34964868354
2026-01-31,12864.2396016653
2026-02-28,12402.67438599304
2026-03-31,13864.01604200795
2026-04-30,12986.11266658337
2026-05-31,12133.05482859401
2026-06-30,10847.76401488739
2026-07-31,12724.26415562836
2026-08-31,12850.366104006
2026-09-30,12822.41351614538
2026-10-31,12139.63522085721
2026-11-30,10218.4184236473
2026-12-31,10632.34964868354
2027-01-31,12864.2396016653
2027-02-28,12402.67438599304
2027-03-31,13864.01604200795
2027-04-30,12986.11266658337
2027-05-31,12133.05482859401
2027-06-30,10847.76401488739
2027-07-31,12724.26415562836
2027-08-31,12850.366104006
2027-09-30,12822.41351614538
2027-10-31,12139.63522085721
2027-11-30,10218.4184236473
2027-12-31,10632.34964868354
